collision_index,collision_year,collision_ref_no,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_imd_decile,lsoa_of_casualty,enhanced_casualty_severity,casualty_injury_based,casualty_adjusted_severity_serious,casualty_adjusted_severity_slight,casualty_distance_banding
2021010321440,2021,010321440,2,2,2,2,12,3,2,0,0,2,0,0,9,4,E01003714,-1,0,1,0,-1
2021201133880,2021,201133880,1,1,1,2,23,5,3,0,0,0,0,0,9,-1,-1,3,1,0,1,-1
2021610037621,2021,610037621,1,1,1,1,32,6,3,0,0,0,0,0,20,-1,-1,-1,0,0.10107,0.89893,-1
2021201065692,2021,201065692,2,2,2,2,40,7,3,0,0,1,0,0,9,1,E01009270,3,1,0,1,-1
2021520200374,2021,520200374,2,1,1,2,47,8,3,0,0,0,0,0,9,10,E01014384,-1,0,0.02897,0.97103,-1
2021122100321,2021,122100321,2,2,1,2,48,8,3,0,0,0,0,0,9,6,E01027601,-1,0,0.03916,0.96084,-1
2021221124549,2021,221124549,1,1,1,2,42,7,3,0,0,0,0,0,9,7,E01032192,3,1,0,1,-1
2021440049131,2021,440049131,3,1,1,2,36,7,3,0,0,0,0,0,9,10,E01022497,-1,0,0.02167,0.97833,-1
2021461052854,2021,461052854,2,1,1,1,27,6,3,0,0,0,0,0,9,6,E01024568,3,1,0,1,-1
2021991027547,2021,991027547,1,1,1,1,18,4,2,0,0,0,0,0,9,-1,-1,5,1,1,0,-1
2021451114886,2021,451114886,1,1,3,2,29,6,3,6,9,0,0,0,0,8,E01030580,3,1,0,1,-1
2021201091099,2021,201091099,2,1,1,1,26,6,3,0,0,0,0,0,3,3,E01008921,3,1,0,1,-1
2021010297108,2021,010297108,2,1,1,1,48,8,3,0,0,0,0,0,5,9,E01001123,-1,0,0,1,-1
2021141024261,2021,141024261,2,1,1,1,45,7,2,0,0,0,0,0,5,10,E01026187,5,1,1,0,-1
2021131124102,2021,131124102,2,3,1,1,64,9,2,0,0,0,0,0,9,2,E01010799,7,1,1,0,-1
2021211109661,2021,211109661,1,1,1,2,47,8,3,0,0,0,0,0,9,9,E01029860,3,1,0,1,-1
2021501062176,2021,501062176,1,1,2,2,16,4,3,0,0,1,0,0,9,5,E01018834,3,1,0,1,-1
202160Z082795,2021,60Z082795,1,1,1,1,52,8,3,0,0,0,0,0,9,-1,-1,-1,0,0.13747,0.86253,-1
2021531047548,2021,531047548,2,1,1,1,69,10,3,0,0,0,0,0,22,8,E01022165,3,1,0,1,-1
2021201165552,2021,201165552,2,1,1,1,44,7,3,0,0,0,0,0,9,7,E01009550,3,1,0,1,-1
2021501082235,2021,501082235,2,3,2,2,23,5,3,0,0,0,0,0,19,2,E01009742,3,1,0,1,-1
2021361031931,2021,361031931,2,1,1,2,59,9,2,0,0,0,0,0,1,9,E01026916,5,1,1,0,-1
2021141043564,2021,141043564,1,1,1,1,17,4,3,0,0,0,0,0,3,-1,-1,3,1,0,1,-1
2021010290935,2021,010290935,1,2,2,1,61,9,3,0,0,1,0,0,9,6,E01003786,-1,0,0,1,-1
2021041192500,2021,041192500,1,1,1,1,21,5,3,0,0,0,0,0,9,4,E01025187,3,1,0,1,-1
2021302101437,2021,302101437,3,2,1,1,85,11,3,0,0,0,0,0,9,-1,-1,-1,0,0.05432,0.94568,-1
2021411128381,2021,411128381,1,1,1,1,58,9,3,0,0,0,0,0,9,7,E01023351,3,1,0,1,-1
2021430482467,2021,430482467,2,1,1,1,50,8,3,0,0,0,0,0,9,7,E01016824,-1,0,0.01856,0.98144,-1
2021520103964,2021,520103964,2,1,1,2,20,4,3,0,0,0,0,0,9,9,E01029294,-1,0,0.01005,0.98995,-1
2021161036271,2021,161036271,3,2,1,1,33,6,3,0,0,0,0,0,21,1,E01012849,3,1,0,1,-1
2021440443321,2021,440443321,1,1,3,2,59,9,3,9,7,0,0,0,0,7,E01017316,-1,0,0.13639,0.86361,-1
2021471072455,2021,471072455,2,1,1,1,14,3,2,0,0,0,0,0,1,-1,-1,7,1,1,0,-1
2021010319754,2021,010319754,2,2,1,2,39,7,3,0,0,0,0,0,9,7,E01003763,-1,0,0,1,-1
2021010330522,2021,010330522,2,1,1,1,32,6,3,0,0,0,0,0,9,3,E01003708,-1,0,0,1,-1
2021141063807,2021,141063807,1,1,1,1,34,6,3,0,0,0,0,0,9,1,E01007715,3,1,0,1,-1
2021320697424,2021,320697424,1,2,2,2,65,9,3,0,0,1,0,0,9,9,E01026182,-1,0,0.0789,0.9211,-1
2021501083429,2021,501083429,1,5,2,2,13,3,2,0,0,1,0,0,9,2,E01029177,6,1,1,0,-1
2021010351246,2021,010351246,1,1,2,1,61,9,3,0,0,0,4,0,11,2,E01003055,-1,0,0,1,-1
2021010344798,2021,010344798,1,1,2,1,12,3,3,0,0,0,2,0,11,2,E01002080,-1,0,0,1,-1
2021010347299,2021,010347299,1,2,2,2,73,10,3,0,0,1,0,0,9,3,E01003430,-1,0,0,1,-1
2021430184411,2021,430184411,1,1,1,1,72,10,2,0,0,0,0,0,9,5,E01017710,-1,0,1,0,-1
2021501116392,2021,501116392,2,1,2,2,54,8,3,0,0,1,0,0,9,8,E01020003,3,1,0,1,-1
2021211042638,2021,211042638,1,1,3,2,60,9,3,9,9,0,0,0,0,2,E01014356,3,1,0,1,-1
2021451055538,2021,451055538,1,1,1,2,19,4,3,0,0,0,0,0,9,10,E01016603,3,1,0,1,-1
202160Z131447,2021,60Z131447,2,3,2,1,20,4,2,0,0,2,0,0,9,-1,-1,-1,0,1,0,-1
2021320084729,2021,320084729,1,1,1,1,43,7,3,0,0,0,0,0,19,2,E01026006,-1,0,0.0473,0.9527,-1
2021131098660,2021,131098660,1,1,3,2,27,6,3,8,7,0,0,2,0,4,E01011546,3,1,0,1,-1
2021122100273,2021,122100273,2,2,2,2,42,7,3,0,0,1,0,0,9,7,E01027726,-1,0,0.00769,0.99231,-1
2021440463885,2021,440463885,2,1,1,1,31,6,3,0,0,0,0,0,10,5,E01022678,-1,0,0.06939,0.93061,-1
2021010328227,2021,010328227,1,1,3,2,36,7,3,5,4,0,0,0,0,7,E01002013,-1,0,0,1,-1
2021010293296,2021,010293296,2,1,1,1,39,7,3,0,0,0,0,0,1,2,E01004723,-1,0,0,1,-1
2021991020270,2021,991020270,2,1,1,1,27,6,2,0,0,0,0,0,3,1,-1,7,1,1,0,-1
2021010333414,2021,010333414,1,2,2,-1,-1,-1,3,0,0,1,0,0,9,5,E01003131,-1,0,0,1,-1
2021122100086,2021,122100086,3,1,1,2,32,6,3,0,0,0,0,0,9,5,E01011352,-1,0,0.00752,0.99248,-1
2021401128581,2021,401128581,2,3,2,2,11,3,3,0,0,-1,0,0,9,3,E01015730,3,1,0,1,-1
202163A056721,2021,63A056721,1,2,1,1,37,7,3,0,0,2,0,0,9,-1,-1,-1,0,0.05209,0.94791,-1
2021141126572,2021,141126572,1,1,2,1,60,9,3,0,0,0,4,0,11,1,E01007764,3,1,0,1,-1
2021401118312,2021,401118312,1,1,3,1,11,3,3,5,1,0,0,0,0,1,E01017466,3,1,0,1,-1
2021131055231,2021,131055231,2,1,1,1,21,5,3,0,0,0,0,0,1,-1,-1,3,1,0,1,-1
2021111097298,2021,111097298,1,1,1,1,44,7,2,0,0,0,0,0,9,2,E01020802,6,1,1,0,-1
2021010323622,2021,010323622,2,1,1,1,25,5,2,0,0,0,0,0,1,5,E01004515,-1,0,1,0,-1
2021161126407,2021,161126407,1,1,1,2,27,6,3,0,0,0,0,0,9,8,E01013263,3,1,0,1,-1
2021320367574,2021,320367574,2,1,1,1,44,7,3,0,0,0,0,0,9,6,E01026128,-1,0,0.02741,0.97259,-1
2021991107528,2021,991107528,1,2,2,2,66,10,2,0,0,1,0,0,9,7,-1,6,1,1,0,-1
2021231056849,2021,231056849,1,1,1,1,11,3,3,0,0,0,0,0,1,1,E01031116,3,1,0,1,-1
2021122100295,2021,122100295,1,1,1,1,37,7,3,0,0,0,0,0,8,1,E01010723,-1,0,0.07055,0.92945,-1
2021991124914,2021,991124914,2,1,1,2,30,6,2,0,0,0,0,0,9,8,-1,7,1,1,0,-1
2021131082934,2021,131082934,1,2,3,2,28,6,3,10,9,0,0,2,0,7,E01011162,3,1,0,1,-1
2021131111508,2021,131111508,2,1,1,1,64,9,3,0,0,0,0,0,1,6,E01011830,3,1,0,1,-1
2021010331587,2021,010331587,1,1,1,1,46,8,3,0,0,0,0,0,3,1,E01001052,-1,0,0,1,-1
2021010350377,2021,010350377,2,1,1,1,48,8,3,0,0,0,0,0,9,6,E01000623,-1,0,0,1,-1
2021131069464,2021,131069464,2,1,2,2,27,6,3,0,0,2,0,0,9,3,E01011304,3,1,0,1,-1
2021332100307,2021,332100307,2,3,1,1,57,9,3,0,0,0,0,0,11,7,E01025659,-1,0,0.02334,0.97666,-1
2021201060215,2021,201060215,1,1,1,1,27,6,3,0,0,0,0,0,19,1,E01009114,3,1,0,1,-1
2021421090378,2021,421090378,2,1,1,1,76,11,2,0,0,0,0,0,1,7,E01021950,6,1,1,0,-1
2021041112878,2021,041112878,2,2,2,2,21,5,3,0,0,1,0,0,9,6,E01025548,3,1,0,1,-1
2021061064806,2021,061064806,3,2,1,2,61,9,3,0,0,0,0,0,9,8,E01005011,3,1,0,1,-1
2021361076332,2021,361076332,3,3,2,2,68,10,2,0,0,1,0,0,9,8,E01026930,7,1,1,0,-1
2021440165817,2021,440165817,1,1,1,1,56,9,3,0,0,0,0,0,9,10,E01023211,-1,0,0.14018,0.85982,-1
2021101019751,2021,101019751,1,1,3,1,18,4,3,1,1,0,0,-1,0,-1,-1,3,1,0,1,-1
2021411015925,2021,411015925,1,1,3,1,27,6,2,5,3,0,0,0,0,7,E01023398,7,1,1,0,-1
2021052101399,2021,052101399,1,1,1,1,58,9,2,0,0,0,0,0,5,2,E01007239,-1,0,1,0,-1
2021201042187,2021,201042187,2,5,2,1,69,10,3,0,0,1,0,0,9,5,E01009032,3,1,0,1,-1
2021201132802,2021,201132802,2,1,1,2,23,5,3,0,0,0,0,0,9,3,E01008893,3,1,0,1,-1
